i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
17,34816,76.51260781567544,79.28468789687031,42,108.95,3,2,2,1,0,0,0,-6.04972758075981
17,34816,18.845342329586856,7.6758785839956545,2,,22,21,0,0,0,0,0,-4.844378420879064
17,34816,79.20903254416771,80.72071957867593,79,99.21,4,3,3,2,0,0,0,-6.821826169995116
17,34816,68.28845348936738,71.47502379530124,105,134.416313125,5,4,6,5,0,0,0,-6.77208872147638
18,36864,59.95901538262842,66.12496247271338,24,134.08672876718745,1,0,8,7,0,0,0,-4.835152170139107
18,36864,65.06227546196897,79.7771657607882,134,97.55,2,1,2,1,0,0,0,-7.20768001136796
18,36864,22.064801082888152,13.084780148710706,3,221.11726251953118,16,15,8,7,0,0,0,-4.597102466813272
18,36864,51.25611418770859,59.126371410820866,81,154.405625,7,6,4,3,0,0,0,-6.121014740853745
18,36864,63.56829616270261,77.24338230109424,120,117,2,1,1,0,0,0,0,-6.926310701451884
19,38912,29.89471979381051,19.544455535105953,0,207.0325,18,17,3,3,0,1,0,-3.939782544757755
19,38912,49.95284931541517,56.654370027987675,49,153.31923017187498,3,2,7,6,232,0,0,-4.0104131000143175
19,38912,45.386103467899375,53.43349798822601,3,176.44812499999998,9,8,4,3,0,3,2,-3.279053933439258
19,38912,53.34670049835689,59.933097334110634,44,133.79999999999998,3,2,2,1,199,1,0,-3.6181521365496163
19,38912,17.291931956424378,3.8580042508328916,0,,21,20,0,0,0,0,0,-5.102537213126628
20,40960,22.526391629799036,16.084229822445195,3,,13,12,0,0,0,0,0,-4.37078410755863
20,40960,32.201262060698355,24.697360342543107,2,228.07499999999996,15,14,3,3,0,0,0,-4.016099452982736
20,40960,18.349341269640718,5.520808999426663,24,,11,11,0,0,0,0,0,-5.740620106514695
20,40960,16.42752577245119,7.546645237016492,13,,18,17,0,0,0,0,0,-5.220829389289504
20,40960,26.950808135734405,20.06632166012423,6,,12,12,0,0,0,0,0,-4.439856229088088
21,43008,11.87080111267278,9.134270522918086,0,254,16,15,1,0,0,0,0,-4.458629158552669
21,43008,8.032279992767144,3.5945286334026605,0,,11,10,0,0,0,0,0,-4.970815487356873
21,43008,8.563005751057062,5.9786979501950555,0,,15,15,0,0,0,0,0,-5.150683577079659
21,43008,9.680460624804255,7.2820073226466775,0,,12,11,0,0,0,0,0,-4.641962928767502
21,43008,9.546137535653543,5.634096183348447,0,,19,18,0,0,0,0,0,-5.067870074861321
22,45056,34.322043097927235,57.368319371016696,0,159.14999999999998,9,8,2,1,0,5,5,-2.9046053154495546
22,45056,29.957113540149294,39.2081655038055,0,191.59249999999997,11,10,3,2,0,3,2,-3.526726561774924
22,45056,22.233305200643372,17.475728518911637,2,,25,25,0,0,0,0,0,-4.351499351541452
22,45056,18.688091839430854,10.769702630932443,0,255,18,17,1,1,0,0,0,-4.535964082842353
22,45056,25.252637153607793,18.844913580687717,0,246.87999999999997,21,20,3,2,0,1,2,-4.059514025499379
23,47104,35.05566875683144,38.05151905544335,1,203.35,19,18,2,1,0,3,3,-3.2356018184649353
23,47104,37.39899270585738,25.769396517716814,0,157.9525,28,27,3,3,0,0,0,-3.354717241666744
23,47104,31.298459676327184,59.80612351122545,0,141.58599999999998,7,6,4,3,0,7,8,-2.9270862207076167
23,47104,31.92120202293154,64.75720411835937,0,130.4925,5,4,3,2,0,9,9,-2.682593367245298
23,47104,32.265465217642486,63.66866191383451,0,127.31787499999999,9,8,4,3,0,8,9,-2.70409390621304
24,49152,37.4462689331267,68.48906691593584,0,117,5,4,1,0,0,8,8,-2.395571262342688
24,49152,37.224611931014806,69.04557061352534,0,117.0425,4,3,3,2,0,7,8,-2.4888575807235305
24,49152,36.20919236855116,69.42814394424204,0,113.6,4,3,2,1,0,9,8,-2.390580890561256
24,49152,37.50886719644768,66.34927283739671,4,123.27055874999996,7,6,6,5,0,7,7,-2.4840960928387297
24,49152,36.6670904259081,57.84421070566168,8,112.85737499999999,10,9,4,3,0,9,9,-3.3663813108919665
25,51200,45.80109963083969,68.14793699554035,0,103.55562499999998,6,5,4,3,238,5,4,-1.2915754678830829
