Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
53248,17.465832288144156,20.463636866770685,0,46,1,0,1,0,63,1,0,0.41620465249756056
53248,24.105846669408493,32.07327245618217,0,53.199999999999996,1,0,2,1,87,1,0,0.23179870633303712
53248,24.028361757518724,31.684262462658808,0,54.15,1,0,2,1,86,1,0,0.2475801424663921
53248,23.711662393179722,32.08520873449743,0,56.099999999999994,1,0,2,1,87,1,0,0.2290690476017862
55296,24.79215241764905,32.500670093577355,0,54.3,1,0,2,1,88,1,0,0.18634780317232572
55296,23.40894814406056,31.71941782347858,0,53.294999999999995,1,0,3,2,86,1,0,0.2284735506510455
55296,24.881987187836785,32.11164101958275,0,52.73499999999999,1,0,3,2,87,1,0,0.20590648123888042
57344,25.310177347273566,33.433335879817605,0,54.349999999999994,1,0,2,1,91,1,0,0.18860493746707924
57344,23.635995780932717,33.044806541875005,0,56.099999999999994,1,0,2,1,90,1,0,0.19355446393326511
57344,23.408989905146882,31.483921559993178,0,55.15,1,0,2,1,86,1,0,0.24202513444564458
59392,17.477477301144972,28.125,0,26,1,0,1,0,78,1,0,0.4217814569396855
59392,17.82156215485884,28.515625,0,28,1,0,1,0,79,1,0,0.4154341034878556
59392,18.06212188967038,27.734375,0,28,1,0,1,0,77,1,0,0.42635859270394977
61440,20.99150051653851,30.46875,0,29.400624999999994,1,0,4,3,84,0,0,0.24351673794884054
61440,19.777333502133843,29.296875,0,30.027499999999996,1,0,3,2,81,1,0,0.31268190346470826
61440,23.70803499215981,32.65253879362717,0,34.49031776796873,1,1,8,8,91,0,1,0.005168496011796031
63488,25.17717222654028,64.9409526027739,0,51,1,0,1,0,177,4,3,-0.733997766096907
63488,27.200701915717218,34.3436126364395,1,50,1,0,1,0,99,2,1,0.04743056486535496
63488,27.067612958489917,34.32770094368607,1,48.099999999999994,1,0,2,1,98,2,1,0.04556968276316925
65536,18.76277162518818,37.79555484652519,0,27,1,0,1,0,104,2,1,0.009080026226889637
65536,23.267960190423764,30.58702889829874,0,25.15,1,0,2,1,88,3,2,0.25507727506708316
65536,14.295033489179332,86.30567581858486,0,28.249999999999996,1,0,2,1,229,7,6,-1.4214936437012033
67584,22.439626943378244,30.989950674120337,0,23.099999999999998,1,0,2,1,87,2,1,0.26927513994126256
67584,17.37610097916331,37.320952431764454,0,25.15,1,0,2,1,103,2,1,0.012691519560311004
67584,11.89240964158671,77.40867447573692,0,25.117875,1,0,4,3,205,4,3,-1.2181822434470733
69632,22.408777216332965,31.604060740210116,0,21.15,1,0,2,1,87,2,2,0.27116193653664605
69632,16.242735472042114,40.56821080157533,0,23.099999999999998,1,0,2,1,112,4,3,-0.06109939475125453
69632,15.109062165720388,47.74195731151849,0,23.099999999999998,1,0,2,1,129,4,3,-0.21269062736153865
71680,28.92416015092749,42.13349793571979,0,65.2,1,0,2,1,116,1,0,-0.1685513110169653
71680,29.222670597664546,36.2957016332075,0,64.34499999999998,1,0,3,2,101,1,0,-0.022565962227522163
71680,30.395147582748905,36.99686671607196,0,66.345,1,0,3,2,104,2,1,-0.08352686146220184
