i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
16,32768,68.65105286280635,87.83651160536915,0,59.3,1,0,2,1,93,1,0,0.4439084410215332
16,32768,71.10705979458697,85.23237811667579,0,49.099999999999994,1,0,2,1,77,1,0,0.8944668092510057
17,34816,72.4726943138205,87.44397018058801,3,49.099999999999994,1,0,2,1,81,1,0,0.31589833157302444
17,34816,62.102851459702244,88.95945125123829,27,51,1,0,1,0,103,1,0,-1.3329623067066776
17,34816,65.9223386561688,89.19179828799501,22,51,1,0,1,0,98,1,0,-1.0057959766282003
17,34816,62.196029990911484,89.0471319258213,24,51,1,0,1,0,100,1,0,-1.1014884832286091
17,34816,62.965540226223396,88.83445819894087,26,52,1,0,1,0,103,1,0,-1.2287086467985555
18,36864,69.00890307115004,88.06564751844685,12,72,1,0,1,0,111,1,0,-0.7585117950737409
18,36864,62.341307343567834,88.26993255544517,24,60.1,1,0,2,1,118,1,0,-1.34526855758092
18,36864,61.42778550544061,90.34966412654593,27,59.199999999999996,2,1,2,1,121,1,0,-1.4223895335188785
18,36864,70.87156144488189,88.14755620227919,6,65.0825,2,1,3,2,108,1,0,-0.5801946185759798
18,36864,65.0409618296243,86.81010228485383,18,62,1,0,1,0,116,1,0,-0.9539278063698788
19,38912,72.09241159797944,91.69190071292759,0,56,1,0,1,0,97,1,0,0.49876396144474777
19,38912,71.51055514931362,91.29920696958582,0,55,1,0,1,0,94,1,0,0.5311939864040464
19,38912,69.70549910868469,91.0857220386204,0,56,1,0,1,0,95,1,0,0.5102070725865585
19,38912,70.42374397814274,92.05072629451752,4,58.099999999999994,1,0,2,1,100,1,0,0.08203957292611676
19,38912,71.03101293100639,91.43214653781119,4,55.15,1,0,2,1,94,1,0,0.16054078357167037
20,40960,73.71024304278652,92.20591257421337,1,57.5425,1,0,3,2,98,1,0,0.1526448834042338
20,40960,70.63805777015108,87.76773242938398,1,60,1,0,1,0,99,1,0,0.3406502753300148
20,40960,70.960123456539,91.83285735706066,0,53.39249999999999,1,0,3,2,94,1,0,0.47539795581311806
20,40960,72.57781135064832,91.40504399377309,1,58,1,0,1,0,89,1,0,0.5956249436890854
20,40960,70.17797314717124,91.32610831099252,0,56,1,0,1,0,96,1,0,0.584548949615744
21,43008,70.64696742974698,92.1363429820284,0,52.3925,1,0,3,2,94,1,0,0.6531913629152729
21,43008,73.39141617747063,92.14556739130553,0,54,1,0,1,0,94,1,0,0.7913453243442451
