Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
24576,15.369619311240967,89.35060114017688,9,47.052499999999995,1,0,3,2,0,1,0,-0.6057278140699378
24576,33.253490820061415,39.522293920163065,2,43.85,1,0,2,1,132,1,0,0.7281711650369231
24576,34.51107715955004,39.338855096139014,0,45,1,0,1,0,134,2,1,0.7828870522076363
26624,58.01436734618619,74.37965511417133,7,87.23513001629492,2,1,10,9,222,1,0,0.6484211596547629
26624,37.10234381724149,39.22954028312233,1,38.758175625,1,0,6,5,124,2,1,0.6932277276305561
26624,38.14266946865246,44.71821883125813,2,35.33025,1,0,4,3,139,1,0,0.7498024491731525
28672,27.87189088994637,29.297955008223653,0,27,1,0,1,0,93,1,0,0.7365859728412008
28672,34.88130565965548,43.00814375746995,0,34.445,1,0,3,2,127,1,0,0.8358967988278597
28672,87.63080039061606,74.35229300754145,39,43.86775,1,0,4,3,0,1,0,-0.7033977877784408
30720,48.23699400876649,62.109196558594704,0,28.5425,1,0,3,2,175,1,0,1.0692429265280112
30720,25.339475605869666,26.725073950365186,0,24,1,0,1,0,86,1,0,0.7017351335864932
30720,24.45104584476212,25.551854725927114,0,24,1,0,1,0,82,2,1,0.6911877833237788
32768,41.1721333686728,48.06675910949707,3,39.615773703125,1,0,7,6,139,1,0,0.6659525375911819
32768,57.52547963056713,85.95759124145843,4,45.28174999999999,1,0,4,3,236,2,1,1.1606264751894733
32768,29.545458051143214,37.450170499505475,5,28.885875,1,0,4,3,111,2,1,0.5070176202881123
34816,45.65071534598246,80.81219497835264,2,41.0925,1,0,3,2,221,4,3,1.1905762064618022
34816,65.0535345543176,23.393000579744694,6,25.549999999999997,18,17,2,2,186,1,0,0.05628739901532065
34816,23.01563508808613,23.809340444859117,0,24.449999999999996,1,0,2,1,75,1,0,0.6716129207590349
36864,19.174837280297652,20.448919909540564,1,24.15,1,0,2,1,65,1,0,0.5910914681108285
36864,51.29064125358127,93.79951950104441,6,49.85053480608623,1,0,11,10,0,0,0,0.58523227559789
36864,19.548033399041742,21.107897031470202,0,30.745374999999996,1,0,4,3,67,1,0,0.5765551689029635
38912,29.237809032201767,31.74261952517554,1,27,1,0,1,0,94,1,0,0.7476060110534111
38912,31.24546827748418,36.43052909756079,0,23.9,1,0,2,1,106,1,0,0.774100258712701
38912,39.49370060581714,44.87292089033872,5,39.3109278125,1,0,6,5,131,1,0,0.7174029328725702
40960,33.21984359645285,37.216141808312386,0,25,1,0,1,0,106,1,0,0.8014035732647062
40960,44.18552494607866,50.11547215981409,5,59.448857043681016,1,0,15,14,140,0,0,0.376071500766229
40960,31.997104245238006,37.605587067082524,0,26,1,0,1,0,107,1,0,0.7951560433455684
43008,72.53850762208458,87.83445000153733,9,177.4510072800995,2,1,43,43,0,0,0,-1.1366057618425454
43008,40.521506233199034,46.648053266108036,0,20,1,0,1,0,129,1,0,0.8473525612197782
43008,52.35310819116421,45.9815134483506,11,41.990398141640625,2,1,9,8,176,1,0,0.36523408553026426
45056,39.4324897788465,45.34819684922695,0,25.35,1,0,2,1,126,1,0,0.8829415352734682
45056,63.8004708205699,76.07145266374573,3,69.71934990367578,2,1,10,9,222,2,1,0.8735970901921842
45056,42.43592810817063,47.82248905394226,8,51.35065925136717,1,0,9,8,144,1,0,0.5091322676875779
47104,45.151056442409754,45.40587500669062,1,29.099999999999998,2,1,2,1,138,1,0,0.7929930357091002
47104,45.268828417465556,49.83519061934203,11,40.94197485629101,2,1,10,9,145,1,0,0.3591320800171457
47104,43.78408886404941,49.241434410214424,0,25.6,1,0,2,2,136,1,0,0.7871689521768733
49152,60.96117308916291,71.95062000100734,13,52.34145124999999,1,0,6,5,199,2,1,0.6208084803483059
49152,79.41086844075471,96.28145196475089,8,27,1,0,1,1,0,0,0,-0.80190826255188
49152,44.79098731389968,49.01581034064293,2,27.56259374999999,1,0,5,4,135,1,0,0.7682270490427796
51200,59.167629887815565,66.43391572870314,10,58.647546095765605,1,0,10,9,179,2,1,0.6779665396044543
